ID,LOCUTOR,FALA_FIEL,FALA_HIGIENIZADA,NOTA_HUMANA
01,Augusto Nunes,o retorno do ministro marco Aurélio Melo ao centro do Roda Viva onde esteve em outubro passado (.) é uma das inúmeras evidências de que o Supremo Tribunal Federal foi levado pela circunstâncias a desempenhar um papel fundamental na busca de soluções para profunda conjunção de crises que aflige o Brasil. o impeachment previsto na Constituição pode ser chamado de Golpe (?) é legítimo e legal que acontece nas negociações envolvendo executivo e o legislativo (?) o ex-presidente Lula na mira da lava jato pode ser transformado em chefe da casa civil de Dilma Rousseff (?) o foro privilegiado deve continuar existindo (?). Estas são algumas dúvidas que pretendemos esclarecer com entrevistado de hoje do Roda Viva (.) o ministro do STF Marco Aurélio Mello (..) Boa noite (.) estamos ao vivo em todo o país pela TV Cultura pelas emissoras afiliadas e pelo nosso canal no YouTube. hoje a nossa bancada de entrevistadores é formada por José neumani editorialista do Jornal O Estado de São Paulo e comentarista da TV Gazeta e da Rádio Estadão (.) o André Guilherme Vieira repórter do Jornal Valor Econômico (.) Gisele Vitória colunista da revista Isto É (.) Maria Cristina frias Editora da coluna Mercado aberto do jornal Folha de São Paulo (.) e Murilo Ramos colunista da revista Época. contamos também como sempre com os desenhos feitos em tempo real pelo nosso cartunista Paulo Caruso. agora você pode acompanhar o Roda Viva em seu celular e também rever entrevistas anteriores (.) É só baixar o programa na loja de aplicativos do seu aparelho (..) Ministro Marco Antônio Melo (.) Muito obrigado muito obrigado e como se eu não tivesse entrevistado o senhor várias vezes nos conhecemos (.) obrigado pela aceitação do convite. o senhor esteve aqui em outubro como sempre concedeu uma entrevista excelente sobretudo que o senhor é um homem Franco (.) É por isso também como explicar a abertura que quisermos o senhor aqui de volta (..) eu começo perguntando o seguinte (.) no episódio da- da divulgação das conversas gravadas pela Polícia Federal o senhor o que é que incomodou mais o senhor (.) a divulgação em si das gravações ou o conteúdo das conversas gravadas pela lava jato (?).,o retorno do ministro marco Aurélio Melo ao centro do Roda Viva onde esteve em outubro passado é uma das inúmeras evidências de que o Supremo Tribunal Federal foi levado pela circunstâncias a desempenhar um papel fundamental na busca de soluções para profunda conjunção de crises que aflige o Brasil. o impeachment previsto na Constituição pode ser chamado de Golpe (?) é legítimo e legal que acontece nas negociações envolvendo executivo e o legislativo (?) o ex-presidente Lula na mira da lava jato pode ser transformado em chefe da casa civil de Dilma Rousseff (?) o foro privilegiado deve continuar existindo (?). Estas são algumas dúvidas que pretendemos esclarecer com entrevistado de hoje do Roda Viva o ministro do STF Marco Aurélio Mello Boa noite estamos ao vivo em todo o país pela TV Cultura pelas emissoras afiliadas e pelo nosso canal no YouTube. hoje a nossa bancada de entrevistadores é formada por José neumani editorialista do Jornal O Estado de São Paulo e comentarista da TV Gazeta e da Rádio Estadão o André Guilherme Vieira repórter do Jornal Valor Econômico Gisele Vitória colunista da revista Isto É Maria Cristina frias Editora da coluna Mercado aberto do jornal Folha de São Paulo e Murilo Ramos colunista da revista Época. contamos também como sempre com os desenhos feitos em tempo real pelo nosso cartunista Paulo Caruso. agora você pode acompanhar o Roda Viva em seu celular e também rever entrevistas anteriores É só baixar o programa na loja de aplicativos do seu aparelho Ministro Marco Antônio Melo Muito obrigado muito obrigado e como se eu não tivesse entrevistado o senhor várias vezes nos conhecemos obrigado pela aceitação do convite. o senhor esteve aqui em outubro como sempre concedeu uma entrevista excelente sobretudo que o senhor é um homem Franco É por isso também como explicar a abertura que quisermos o senhor aqui de volta eu começo perguntando o seguinte no episódio da- da divulgação das conversas gravadas pela Polícia Federal o senhor o que é que incomodou mais o senhor a divulgação em si das gravações ou o conteúdo das conversas gravadas pela lava jato (?).,0
02,Marco Aurélio Mello,ambas as coisas (.) a divulgação é condenar viu a todos os títulos já que nós temos uma lei que impõe o sigilo e houve a divulgação do objeto da interceptação (.) é algo super desagradável para dizer o mínimo.,ambas as coisas a divulgação é condenar viu a todos os títulos já que nós temos uma lei que impõe o sigilo e houve a divulgação do objeto da interceptação é algo super desagradável para dizer o mínimo.,90
03,Augusto Nunes,a divulgação seria o que (?) uma infração processual (?) erro processual (?) eu pergunto primeiro isso para saber se uma irregularidade desse tipo é mais importante que o crime que ela documento (?).,a divulgação seria o que (?) uma infração processual (?) erro processual (?) eu pergunto primeiro isso para saber se uma irregularidade desse tipo é mais importante que o crime que ela documento (?).,100
04,Marco Aurélio Mello,cometida a divulgação pelo cidadão comum é um crime e a pena prevista para esse crime na própria lei de Regência (.) agora fo- por um magistrado por um juiz da causa evidentemente se tem aí um erro de procedimento e que deságua em uma sanção no campo administrativo (..).,cometida a divulgação pelo cidadão comum é um crime e a pena prevista para esse crime na própria lei de Regência agora fo- por um magistrado por um juiz da causa evidentemente se tem aí um erro de procedimento e que deságua em uma sanção no campo administrativo .,75
05,Maria Cristina Frias,Maria Cristina diferentes grupos tem proposto eleições Gerais ou eleições para Presidente seja por referendo seja por emenda constitucional eleições agora (.) essa ideia de eleições agora é constitucional (?).,Maria Cristina diferentes grupos tem proposto eleições Gerais ou eleições para Presidente seja por referendo seja por emenda constitucional eleições agora essa ideia de eleições agora é constitucional (?).,95
06,Marco Aurélio Mello,de início eleições Gerais aí pressuporia uma renúncia coletiva (.) renúncia não só daqueles que ocupam cargos no executivo como também no legislativo e isso é o tópico isso é algo irreal considerada cultura brasileira. nós não temos como implementar uma Emenda para alterar um processo em curso e ter esse- portanto as eleições Gerais essa emenda de início e aí o conceito é um conceito técnico ela se mostraria contraria aos Titãs constitucionais (..).,de início eleições Gerais aí pressuporia uma renúncia coletiva renúncia não só daqueles que ocupam cargos no executivo como também no legislativo e isso é o tópico isso é algo irreal considerada cultura brasileira. nós não temos como implementar uma Emenda para alterar um processo em curso e ter esse- portanto as eleições Gerais essa emenda de início e aí o conceito é um conceito técnico ela se mostraria contraria aos Titãs constitucionais .,75
07,José Nêumanne,Boa noite Ministro (.) Boa noite Ministro (.) eu sou um cidadão direito mas se eu fosse um bandido eu adorarei a t- ter foram privilegiado porque o Supremo Tribunal Federal é muito- eu tenho provas históricas por exemplo Eduardo Azeredo cometeu o mensalão Mineiro e passou anos impune sobre a égide do supremo que nunca julgava. na hora que ele cometeu a estupidez de renunciar ao forro privilegiado porque ia ser pego o juiz pegou e meteu-lhe 20 anos de cana. o senhor tá se queixando aí do Sérgio moro no- Sérgio moro condenou 67 Réus em 17 processos enquanto isso vocês estão lá (.) Renan Calheiros 9 processos o Eduardo Cunha seis processos ninguém é julgado. então o Lulinha que é um grande malandro tá lá sobre a sombra da impunidade de vocês e vocês brincam e o julgamento vai (.) a pergunta é a seguinte (.) é um grande negócio ter furo privilegiado no Brasil (?).,Boa noite Ministro Boa noite Ministro eu sou um cidadão direito mas se eu fosse um bandido eu adorarei a t- ter foram privilegiado porque o Supremo Tribunal Federal é muito- eu tenho provas históricas por exemplo Eduardo Azeredo cometeu o mensalão Mineiro e passou anos impune sobre a égide do supremo que nunca julgava. na hora que ele cometeu a estupidez de renunciar ao forro privilegiado porque ia ser pego o juiz pegou e meteu-lhe 20 anos de cana. o senhor tá se queixando aí do Sérgio moro no- Sérgio moro condenou 67 Réus em 17 processos enquanto isso vocês estão lá Renan Calheiros 9 processos o Eduardo Cunha seis processos ninguém é julgado. então o Lulinha que é um grande malandro tá lá sobre a sombra da impunidade de vocês e vocês brincam e o julgamento vai a pergunta é a seguinte é um grande negócio ter furo privilegiado no Brasil (?).,35
08,Marco Aurélio Mello,em primeiro lugar eu não critiquei o colega Sérgio moro (.) não não De forma algum meu- então foi mal compreendido como tenho sido mal compreendido em certos episódios. eu fiz uma constatação ou seja houve uma divulgação frontalmente contrária a lei a minha colocação é uma colocação científica. em segundo lugar eu não posso concordar de forma alguma enquadramento com enquadramento do supremo como um órgão benevolente (.) nós temos um exemplo recente que é o julgamento do processo que ficou conhecido como mensalão. impusemos todas Nações inclusive perdoados com pena perdoada só os que não tem pessoas que não tem problema (.) não houve um indulto Natalino e nós temos que cum- essa responsabilidade para o Supremo. o Supremo é a última trincheira da Cidadania e a atuação dele é uma atuação vinculada vin- vinculada constituição federal e fora disso não há salvação Como já dizia Ruy Barbosa (..).,em primeiro lugar eu não critiquei o colega Sérgio moro não não De forma algum meu- então foi mal compreendido como tenho sido mal compreendido em certos episódios. eu fiz uma constatação ou seja houve uma divulgação frontalmente contrária a lei a minha colocação é uma colocação científica. em segundo lugar eu não posso concordar de forma alguma enquadramento com enquadramento do supremo como um órgão benevolente nós temos um exemplo recente que é o julgamento do processo que ficou conhecido como mensalão. impusemos todas Nações inclusive perdoados com pena perdoada só os que não tem pessoas que não tem problema não houve um indulto Natalino e nós temos que cum- essa responsabilidade para o Supremo. o Supremo é a última trincheira da Cidadania e a atuação dele é uma atuação vinculada vin- vinculada constituição federal e fora disso não há salvação Como já dizia Ruy Barbosa .,45
09,José Nêumanne,Ministro mas sobre mim é só- só um minutinho pra gente não perder a hora dele o senhor não respondeu sobre o foro privilegiado se é um bom negócio (.).,Ministro mas sobre mim é só- só um minutinho pra gente não perder a hora dele o senhor não respondeu sobre o foro privilegiado se é um bom negócio .,95
10,Marco Aurélio Mello,Todos sabem a minha concepção sobre a prerrogativa de foro (.) O Privilégio se é que é privilégio porque a queima de etapas tem se penada unica mediante o pronunciamento do supremo de ser julgado pelo Supremo. eu sou de concepção Democrata eu penso que todo e qualquer cidadão independentemente do cargo Porque nós não julgamos o cargo nós julgamos o cidadão deve ser julgado pelo juiz de primeira instância como ocorre por exemplo é a nossa- o nosso judiciário foi criado a imagem americana principalmente a suprema corte nos Estados Unidos da América (..).,Todos sabem a minha concepção sobre a prerrogativa de foro O Privilégio se é que é privilégio porque a queima de etapas tem se penada unica mediante o pronunciamento do supremo de ser julgado pelo Supremo. eu sou de concepção Democrata eu penso que todo e qualquer cidadão independentemente do cargo Porque nós não julgamos o cargo nós julgamos o cidadão deve ser julgado pelo juiz de primeira instância como ocorre por exemplo é a nossa- o nosso judiciário foi criado a imagem americana principalmente a suprema corte nos Estados Unidos da América .,75
